51075.304270 19.610 0.033
52196.304883 20.165 0.048
52197.317991 20.035 0.043
52225.168079 20.068 0.045
52231.203863 20.157 0.048
#52253.190033 -99.000 0.078
52557.311864 20.332 0.065
52578.207948 20.318 0.054
52908.286430 20.317 0.065
52911.300218 20.346 0.069
52930.177590 20.298 0.065
#52934.218331 -99.000 0.072
52936.214258 20.251 0.050
52962.139779 20.325 0.056
#53270.278328 -99.000 0.081
53272.328262 20.254 0.065
53286.296981 20.056 0.057
53288.255472 20.103 0.051
53294.303146 20.213 0.060
53302.251140 20.084 0.093
53312.206730 20.118 0.058
53314.207868 20.139 0.051
53623.302444 20.140 0.058
#53626.288657 -99.000 0.055
53628.273523 20.112 0.111
#53637.275138 -99.000 0.085
53639.320517 20.083 0.054
#53644.267591 -99.000 0.053
53654.302208 20.079 0.052
#53656.249802 -99.000 0.109
53663.263111 20.041 0.078
#53668.252711 -99.000 0.065
53670.257565 19.944 0.044
53673.225548 20.103 0.048
53675.222436 20.085 0.049
#53677.243468 -99.000 0.045
53680.230134 20.014 0.051
53693.232031 20.034 0.092
53698.229422 20.123 0.090
#53704.215355 -99.000 0.062
53974.308041 20.331 0.050
53989.311457 20.198 0.108
53997.407039 20.295 0.072
54000.286907 20.334 0.061
54007.336998 20.290 0.055
54009.260822 20.303 0.059
54011.325251 20.376 0.080
54019.275446 20.185 0.070
#54025.324265 -99.000 0.064
54029.254664 20.159 0.056
54348.322077 20.151 0.057
54358.277816 20.106 0.065
54359.271862 20.071 0.082
54365.310915 20.139 0.051
#54373.385152 -99.000 0.183
54381.330523 19.992 0.052
54386.322830 20.058 0.062
54388.327079 20.062 0.050
54403.240879 20.181 0.110
#54404.298529 -99.000 0.072
54405.296460 19.962 0.054
54406.234635 19.983 0.044
#54412.237611 -99.000 0.071

